type	name	value	zone	address	bytes	access	other
Factory	IWDG_PR	---	Memory	0x50e1	1	readWrite	strong	
Factory	IWDG_RLR	---	Memory	0x50e2	1	readWrite	strong	
Factory	AWU_CSR1	---	Memory	0x50f0	1	readWrite	strong	
Factory	AWU_APR	---	Memory	0x50f1	1	readWrite	strong	
Factory	AWU_TBR	---	Memory	0x50f2	1	readWrite	strong	
Factory	BEEP_CSR	---	Memory	0x50f3	1	readWrite	strong	
Factory	SPI_CR1	---	Memory	0x5200	1	readWrite	strong	
Factory	SPI_CR2	---	Memory	0x5201	1	readWrite	strong	
Factory	SPI_ICR	---	Memory	0x5202	1	readWrite	strong	
Factory	SPI_SR	---	Memory	0x5203	1	readWrite	strong	
Factory	SPI_DR	---	Memory	0x5204	1	readWrite	strong	
Factory	SPI_CRCPR	---	Memory	0x5205	1	readWrite	strong	
Factory	SPI_RXCRCR	---	Memory	0x5206	1	readWrite	strong	
Factory	SPI_TXCRCR	---	Memory	0x5207	1	readWrite	strong	
Factory	I2C_CR1	---	Memory	0x5210	1	readWrite	strong	
Factory	I2C_CR2	---	Memory	0x5211	1	readWrite	strong	
Factory	I2C_FREQR	---	Memory	0x5212	1	readWrite	strong	
Factory	I2C_OARL	---	Memory	0x5213	1	readWrite	strong	
Factory	I2C_OARH	---	Memory	0x5214	1	readWrite	strong	
Factory	I2C_DR	---	Memory	0x5216	1	readWrite	strong	
Factory	I2C_SR1	---	Memory	0x5217	1	readWrite	strong	
Factory	I2C_SR2	---	Memory	0x5218	1	readWrite	strong	
Factory	I2C_SR3	---	Memory	0x5219	1	readWrite	strong	
Factory	I2C_ITR	---	Memory	0x521a	1	readWrite	strong	
Factory	I2C_CCRL	---	Memory	0x521b	1	readWrite	strong	
Factory	I2C_CCRH	---	Memory	0x521c	1	readWrite	strong	
Factory	I2C_TRISER	---	Memory	0x521d	1	readWrite	strong	
Factory	I2C_PECR	---	Memory	0x521e	1	readWrite	strong	
Factory	UART1_SR	---	Memory	0x5230	1	readWrite	strong	
Factory	UART1_DR	---	Memory	0x5231	1	readWrite	strong	
Factory	UART1_BRR1	---	Memory	0x5232	1	readWrite	strong	
Factory	UART1_BRR2	---	Memory	0x5233	1	readWrite	strong	
Factory	UART1_CR1	---	Memory	0x5234	1	readWrite	strong	
Factory	UART1_CR2	---	Memory	0x5235	1	readWrite	strong	
Factory	UART1_CR3	---	Memory	0x5236	1	readWrite	strong	
Factory	UART1_CR4	---	Memory	0x5237	1	readWrite	strong	
Factory	UART1_CR5	---	Memory	0x5238	1	readWrite	strong	
Factory	UART1_GTR	---	Memory	0x5239	1	readWrite	strong	
Factory	UART1_PSCR	---	Memory	0x523a	1	readWrite	strong	
Factory	TIM1_CR1	---	Memory	0x5250	1	readWrite	strong	
Factory	TIM1_CR2	---	Memory	0x5251	1	readWrite	strong	
Factory	TIM1_SMCR	---	Memory	0x5252	1	readWrite	strong	
Factory	TIM1_ETR	---	Memory	0x5253	1	readWrite	strong	
Factory	TIM1_IER	---	Memory	0x5254	1	readWrite	strong	
Factory	TIM1_SR1	---	Memory	0x5255	1	readWrite	strong	
Factory	TIM1_SR2	---	Memory	0x5256	1	readWrite	strong	
Factory	TIM1_EGR	---	Memory	0x5257	1	readWrite	strong	
Factory	TIM1_CCMR1	---	Memory	0x5258	1	readWrite	strong	
